incident_id,No,Type,Status,Age Group,Gender
449648,0,Victim,Injured,Adult 18+,Male
449683,0,Victim,Killed,Adult 18+,Female
449683,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449872,0,Victim,Killed,Adult 18+,Male
449872,1,Subject-Suspect,Unharmed,Adult 18+,Male
449618,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
451136,0,Victim,Injured,Adult 18+,Male
451136,1,Victim,Injured,Adult 18+,Male
450578,0,Victim,Injured,Adult 18+,Male
450293,0,Victim,Injured,Adult 18+,Male
450293,1,Victim,Injured,Adult 18+,Male
449597,0,Subject-Suspect,Arrested,Adult 18+,Male
449597,1,Subject-Suspect,Arrested,Adult 18+,Male
450556,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450556,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450556,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450556,3,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450556,4,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
450554,0,Victim,Injured,Adult 18+,Male
449932,0,Victim,Injured,Teen 12-17,Male
449932,1,Subject-Suspect,Unharmed,,
450209,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449943,0,Victim,Injured,,Male
449943,1,Victim,Injured,,Female
449943,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449935,0,Victim,Injured,Teen 12-17,Male
449935,1,Subject-Suspect,Unharmed,,
450287,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449691,0,Victim,Killed,Child 0-11,Male
449691,1,Subject-Suspect,Arrested,Adult 18+,Female
449720,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449720,1,Victim,Injured,Adult 18+,Male
450488,0,Victim,Unharmed,Adult 18+,Male
450488,1,Subject-Suspect,Unharmed,Adult 18+,Male
450040,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450033,0,Victim,Injured,Adult 18+,Male
450033,1,Victim,Injured,Adult 18+,Male
450461,0,Victim,Killed,Adult 18+,Male
450026,0,Victim,Injured,Adult 18+,Male
